"edit_history_tweet_ids","id","text","withheld","text_token","text_string"
[1597673578694312000],1597673578694312000,"\"#jeremysiegel says a #recession is 'virtually 100%' assured if the #fed keeps #hiking rates next year.\" https://t.co/pyfbum6tfn via @mktsinsider",null,"[""jeremysiegel"",""says"",""recession"",""virtually"",""100"",""assured"",""fed"",""keeps"",""hiking"",""rates"",""next"",""year"",""co"",""pyfbum6tfn"",""via"",""mktsinsider""]","jeremysiegel says recession virtually 100 assured fed keeps hiking rates next year pyfbum6tfn via mktsinsider"
[1597673358166225000],1597673358166225000,"🤯🧵\n#usa #america #russia #china #ukraine #wef #imf #centralbanks #legacy #swift #financial #system #war #warfare #russiaukrainewar #ukrainerussiawar #global #trade #economy #inflation #recession #economics #conspiracytheories #conspiracy #collaboration #coincidence #suspicious https://t.co/vh7p0hsebb https://t.co/uixvgrqksc",null,"[""usa"",""america"",""russia"",""china"",""ukraine"",""wef"",""imf"",""centralbanks"",""legacy"",""swift"",""financial"",""system"",""war"",""warfare"",""russiaukrainewar"",""ukrainerussiawar"",""global"",""trade"",""economy"",""inflation"",""recession"",""economics"",""conspiracytheories"",""conspiracy"",""collaboration"",""coincidence"",""suspicious"",""co"",""vh7p0hsebb"",""co"",""uixvgrqksc""]","usa america russia china ukraine wef imf centralbanks legacy swift financial system war warfare russiaukrainewar ukrainerussiawar global trade economy inflation recession economics conspiracytheories conspiracy collaboration coincidence suspicious vh7p0hsebb uixvgrqksc"
[1597672541203886000],1597672541203886000,"#recession ... #stockmarket bubble edition\n\n#spx #spx500 $spy #es_f 📉\n#volatility #vix 📈 https://t.co/81dfixnen5",null,"[""recession"",""stockmarket"",""bubble"",""edition"",""spx"",""spx500"",""spy"",""es_f"",""volatility"",""vix"",""co"",""81dfixnen5""]","recession stockmarket bubble edition spx spx500 spy es_f volatility vix 81dfixnen5"
[1597671813005594600],1597671813005594600,"#recession ... #gfc2 us #housing bubble 2.0 edition\n\n#realestate #property 📉 https://t.co/loicb55yoa",null,"[""recession"",""gfc2"",""us"",""housing"",""bubble"",""2"",""0"",""edition"",""realestate"",""property"",""co"",""loicb55yoa""]","recession gfc2 housing bubble edition realestate property loicb55yoa"
[1597671315028443100],1597671315028443100,"""four years after its launch, shipping company, maersk, discontinues the collaboration with ibm to reduce costly paper trails through the blockchain.\nhttps://t.co/xmifooxsup\n\n#technology #economy #technews #jobnews #recession #ibm #maersk #shipping #blockchain""",null,"[""four"",""years"",""launch"",""shipping"",""company"",""maersk"",""discontinues"",""collaboration"",""ibm"",""reduce"",""costly"",""paper"",""trails"",""blockchain"",""co"",""xmifooxsup"",""technology"",""economy"",""technews"",""jobnews"",""recession"",""ibm"",""maersk"",""shipping"",""blockchain""]","four years launch shipping company maersk discontinues collaboration ibm reduce costly paper trails blockchain xmifooxsup technology economy technews jobnews recession ibm maersk shipping blockchain"
[1597670833350377500],1597670833350377500,"""question:\n\nif the big adverts are too scared to advert @twitter (car companies, venture capital, pharma, etc)  where are they advertising this week instead? \n\nits q4, we will hit depths of #recession in q1 2023. where are they?""",null,"[""question"",""big"",""adverts"",""scared"",""advert"",""twitter"",""car"",""companies"",""venture"",""capital"",""pharma"",""etc"",""advertising"",""week"",""instead"",""q4"",""hit"",""depths"",""recession"",""q1"",""2023""]","question big adverts scared advert twitter car companies venture capital pharma etc advertising week instead hit depths recession 2023"
[1597670635987009500],1597670635987009500,"#recession ... #stockmarket bubble edition\n\n#spx #spx500 $spy #es_f #volatility https://t.co/lnpz2rrovs",null,"[""recession"",""stockmarket"",""bubble"",""edition"",""spx"",""spx500"",""spy"",""es_f"",""volatility"",""co"",""lnpz2rrovs""]","recession stockmarket bubble edition spx spx500 spy es_f volatility lnpz2rrovs"
[1597670068317716500],1597670068317716500,"#recession ... #gfc2 us #corporate #debt bubble edition https://t.co/77pihtmhzt",null,"[""recession"",""gfc2"",""us"",""corporate"",""debt"",""bubble"",""edition"",""co"",""77pihtmhzt""]","recession gfc2 corporate debt bubble edition 77pihtmhzt"
[1597669406641115100],1597669406641115100,"""i can most hear the money printers starting up.\nbuy a wheelbarrow company today and sell them for $100,000 a piece when you need to carry cash in a couple years. #economics #cryptocurrency #recession #inflation\nhttps://t.co/e1exlehkmu""",null,"[""hear"",""money"",""printers"",""starting"",""buy"",""wheelbarrow"",""company"",""today"",""sell"",""100"",""000"",""piece"",""need"",""carry"",""cash"",""couple"",""years"",""economics"",""cryptocurrency"",""recession"",""inflation"",""co"",""e1exlehkmu""]","hear money printers starting buy wheelbarrow company today sell 100 000 piece need carry cash couple years economics cryptocurrency recession inflation e1exlehkmu"
[1597669340866056200],1597669340866056200,"the looming #recession is causing corporate governance principles to shirk as investors are prioritizing capital preservation more than climate goals\n#cop27 #csr #corporatesocialresponsibility https://t.co/ekuhdmuvki",null,"[""looming"",""recession"",""causing"",""corporate"",""governance"",""principles"",""shirk"",""investors"",""prioritizing"",""capital"",""preservation"",""climate"",""goals"",""cop27"",""csr"",""corporatesocialresponsibility"",""co"",""ekuhdmuvki""]","looming recession causing corporate governance principles shirk investors prioritizing capital preservation climate goals cop27 csr corporatesocialresponsibility ekuhdmuvki"
