,edit_history_tweet_ids,id,text,withheld
0,['1597622570668691457'],1597622570668691457,"Make Money With The Dow In This Recession!
#StockMarket #stockmarkets #stockmarketcrash #StocksToBuy #DowJones #NASDAQ #NASDAQ100 #Nasdas #DOW #recession #trading #tradingstrategy #TRADINGTIPS #stocktrading #makemoney #investing #Financial #finance 
https://t.co/qW3o3bHkTY",
1,['1597622431765893120'],1597622431765893120,"How to turn $100 into $100,000 in less than a month trading, right in the middle of the #Crypto bear market, #BITCOIN below 30K, and in an impending Global #recession . This is a risk-free strategy GUARANTEED!

Here's a step-by-step guide on how to do it.

A thread...",
2,['1597622112180924423'],1597622112180924423,"#Team42 #42macro #BearMarket2022
#riskmanagement #America #USA #US #economy #inflation #recession #stocks #bonds #equities #StockMarket #Liquidity #Crypto #cryptocurrency #Bitcoin #ETH #macro #Economics #education #news 🧠🗞 #teamworkmakesthedreamwork 😊
https://t.co/kpxvVkQg4H",
3,['1597621783913447427'],1597621783913447427,"I must say the distraction from #inflation, #recession, and politics is a relief. 

With all the fear-mongering about the trajectory of inflation we are constantly subjected to on the evening news, it’s easy to see how an economic recession can become a self-fulfilling prophecy.",
4,['1597621612018270210'],1597621612018270210,"Persistent #inflation and expectations of further monetary tightening have pushed up interest rates on government bonds, corporate debt, mortgage loans, and consumer credit. 

We share our projections for real GDP growth in our latest blog: https://t.co/5i9zCdIS8h #recession https://t.co/7p0UlXycxN",
5,['1597621547639914498'],1597621547639914498,"Tomorrow 2:00 p.m. ET! Free Webinar: Top Recession-Proof Opportunities for 2023 
Join BIA and SalesFuel as we examine local #advertising revenue expectations for 2023 and #recession proof verticals. 
https://t.co/jAEvky0kEM https://t.co/ymfmn8TdqJ",
6,['1597621547262509057'],1597621547262509057,"Tomorrow 2:00 p.m. ET! Free Webinar: Top Recession-Proof Opportunities for 2023 
Join BIA and SalesFuel as we examine local #advertising revenue expectations for 2023 and #recession proof verticals. 
https://t.co/3M90zL7lNr https://t.co/JcGQ0zXjj9",
7,['1597621461639827456'],1597621461639827456,"CFOs must build talent for the long-term: Ravi Vishwanath, Quess Corp #Recession #RaviVishwanath #QuessCorp #CFONews #CFOChallenges #TalentHiring #Interviews #BreakfastWithCFOs #CFO #TalentManagement  https://t.co/tCdxBhFcOR",
8,['1597621406728085504'],1597621406728085504,"Are you scared about the future of our economy? The best businesses aren't looking to survive the economic downturn, they’re looking to THRIVE. https://t.co/IVaQrJC3hi

#dPrism #DigitalGrowth #DigitalStrategy #CEO  #StrategyConsultants #economics #recession #Innovation",
9,['1597621364071899136'],1597621364071899136,"Biden fights his own supporters to stop economic collapse caused by the greed of #unions 
#bidensucks #letsgobrandon #lgbfjb #votered #conservative #republican #trump2024 #bidenflation #recession #depression #trains #schoolbus #negotiation #soicalismsucks #socialismkills #strike https://t.co/yeabEYU0lh",
10,['1597620336014815232'],1597620336014815232,#us #récession https://t.co/4ctkFiwwAl,
