"edit_history_tweet_ids","id","text"
[1598095805772361700],1598095805772361700,"@Nomad_1x @elonmusk The sole reason of misinformation lmao"
[1598095805285793800],1598095805285793800,"@elonmusk @tim_cook https://t.co/CtVT4C2fZO"
[1598095804157546500],1598095804157546500,"@timburchett @elonmusk Bye bye"
[1598095803997778000],1598095803997778000,"@elonmusk Did he talk about a Starlink connection with iPhone … ? … shhh … 👽"
[1598095803448688600],1598095803448688600,"@elonmusk @vincent13031925 The Fed doesn't need to cut rates it needs to be abolished."
[1598095802441773000],1598095802441773000,"""@elonmusk HERE WE GO, APPLE ACCEPTS DOGE NOWW"""
[1598095802370789400],1598095802370789400,"@coatrackn @elonmusk @elon Check this out and thank me later \n👇🏼👇🏼👇🏼👇🏼👇🏼\nhttps://t.co/EPbAJclJEw"
[1598095802303656000],1598095802303656000,"""@partoftheklok @SexualPatriot @HarrisonKrank @elonmusk Aye! A brain too, have ya got one of those?"""
[1598095802240741400],1598095802240741400,"""@elonmusk @jhall cancel cultural doesn’t exist, you moron🙄people just don’t like you."""
[1598095801343148000],1598095801343148000,"@elonmusk Tell the whole story…. As long as you adhere to the App Store TOS."
[1598095801313824800],1598095801313824800,"@elonmusk @tim_cook Tell Tim I say hi."
[1598095800894382000],1598095800894382000,"@elonmusk You must LOVE the Trump Tweets! https://t.co/hN4CtH8SuM"
[1598095800684654600],1598095800684654600,"@elonmusk Tim pales in comparison to Steve Jobs and he knows it."
[1598095799975436300],1598095799975436300,"@elonmusk Brilliant news. Birds and apples belong together. https://t.co/jTxZ9rWHGE"
[1598095799178924000],1598095799178924000,"@federicoast @elonmusk Hope @Apple is aware that censoring debates is a very slippery slope given what happened to the lab leak debate"
[1598095798944030700],1598095798944030700,"""@elonmusk You are so badly misinformed, I wonder why…"""
[1598095798470062000],1598095798470062000,"@elonmusk @SawyerMerritt @jimfarley98 @Ford https://t.co/29jt5LO8V5"
[1598095797005844500],1598095797005844500,"@elonmusk You probably shoulda got this clarification before crying about it to you 115m followers"
[1598095796700086300],1598095796700086300,"""@elonmusk @neuralink let's invest?!  IN the best of Brazil!\n   City Curitiba - State Paraná, let's guarantee your property in Brazil, in the best city, with the best quality of life in Brazil!!! \nhttps://t.co/p8MCM2JcRl\n\n@POTUS @SecBlinken @CNN @UOL @Ukraine @YourAnonP @NASA @elonmusk @EmbJapao @NAT"""
[1598095795840241700],1598095795840241700,"@elonmusk @tim_cook did you let him know it would cost him his CEO position!"
[1598095795047526400],1598095795047526400,"@DBrozeLiveFree @elonmusk @neuralink I survived"
[1598095794904891400],1598095794904891400,"@elonmusk Did you mention why @tim_cook prohibited the Chinese people to use apple air drop and help CCP suppress freedom of speech."
[1598095794699395000],1598095794699395000,"@JamesBe54632842 @muskQu0tes @elonmusk Did it take critical thinking to buy TSLA? Of course it did."
[1598095794384826400],1598095794384826400,"""@hankgreen @elonmusk It's all good, turn out the battle for the future of civilization was all in Elon's head. He made peace with the tyrant already.\n\nhttps://t.co/pFtyPGHtk5"""
[1598095794208354300],1598095794208354300,"@elonmusk Is he still gonna charge you 30%?"
[1598095793977970700],1598095793977970700,"@MindsEyeNFT @MichaelUlry @cxrhartt @iRioWeber @elonmusk You must be a copy writer?"
[1598095793860190200],1598095793860190200,"@elonmusk @tim_cook What are the swimming hours? Did you ask Tim?"
[1598095793642434600],1598095793642434600,"""@muskQu0tes @elonmusk Which he does not. People with good hearts would not fire thousands of employees, especially in this economy."""
[1598095793570738200],1598095793570738200,"""@KevinForBOS @elonmusk Me too, especially for elong distance calls"""
[1598095792862277600],1598095792862277600,"@TheActual_Brian @TwitterBusiness @elonmusk Porn was high up before... No one complained not even advertisers... Just saying just because you encounter something doesn't mean something is being done"
[1598095792694526000],1598095792694526000,"@elonmusk awesome !"
[1598095792610627600],1598095792610627600,"@elonmusk 3-2-1 liberals freaking out about Apple"
[1598095792425705500],1598095792425705500,"@elonmusk It's great to see a productive outcome..."
[1598095792363167700],1598095792363167700,"@MysterySolvent @elonmusk Nothing this guy says can be believed."
[1598095791864025000],1598095791864025000,"@thelittleidiot @elonmusk @CNN @Twitter When you are so woke that you end up cancelling yourself. The left are just mad because their views can't stand up to scrutiny without censorship."
[1598095791616594000],1598095791616594000,"@HistoryInPics @elonmusk https://t.co/qNIJAn1X1Q"
[1598095791347802000],1598095791347802000,"@JJDemonic @elonmusk @neuralink Omg this is real🙏.https://t.co/BRkvNGLT6a"
[1598095791083905000],1598095791083905000,"@elonmusk did you get on your knees and beg?"
[1598095790484107300],1598095790484107300,"@elonmusk It's like you were spreading misinformation."
[1598095789854953500],1598095789854953500,"""@elonmusk Not as smart as you, but a wise man."""
[1598095789762699300],1598095789762699300,"@tadejny @elonmusk It's because he's an unhinged attention seeker"
